cannon	knob	welder's_mask	bulldozer	camel	videocassette_recorder	leopard	goldfish	dress_hat	coffin	goat	airliner	minaret	snowmobile	conch	mailbox	crab	domestic_llama	housefly	microwave	owl	hammock	canoe	killer_whale	iPod
owl	videocassette_recorder	housefly	pincer	airliner	hammock	grand_piano	fire_extinguisher	barrow	microwave	iPod	goldfish	conch	knob	minaret	goat	cannon	camel	domestic_llama	snowmobile	crab	swan	dress_hat	bulldozer	stained-glass_window
grand_piano	domestic_llama	fire_extinguisher	barrow	stained-glass_window	bowling_ball	cannon	knob	football_helmet	hammock	tambourine	shredder	dress_hat	swan	washer	camel	conch	mailbox	duck	common_iguana	sock	pincer	covered_wagon	microwave	housefly
