bat	swan	knob	mailbox	butterfly	pincer	canoe	football_helmet	duck	hammock	cowboy_hat	mandolin	coffin	camel	common_iguana	umbrella	iPod	domestic_llama	conch	planchet	killer_whale	airliner	fire_extinguisher	gravestone	barrow
shredder	iPod	coffin	cowboy_hat	bat	football_helmet	airliner	goat	welder's_mask	pincer	harp	covered_wagon	canoe	microwave	leopard	owl	common_iguana	tambourine	barrow	electric_guitar	grand_piano	domestic_llama	mailbox	bulldozer	butterfly
camel	hammock	coffin	duck	bowling_ball	goat	electric_guitar	minaret	swan	butterfly	iPod	cowboy_hat	umbrella	harp	knob	killer_whale	welder's_mask	tambourine	canoe	housefly	common_iguana	microwave	stained-glass_window	gravestone	mandolin
