Code,Description,Unit,Mat Cost,Mat Factor,Mat Unit,Labor Cost,Labor Productivity,Labor Unit,Sub Cost,Equip Cost,Equip Productivity,Equip Unit,Other Cost
12.000040.0530,"6x32 Rectangular - 2"" Insulation",LF,9.68,1.66,,75,4.27,HR,0,0,1,HR,0
12.000040.0540,"6x32 Rectangular - 1"" Lined",LF,11.59,1.66,,75,3.92,HR,0,0,1,HR,0
12.000040.0550,6x32 Rectangular - Mastic,LF,17.04,1.66,,75,2.24,HR,0,0,1,HR,0
12.000040.0560,6x32 Rectangular - Bare,LF,7.54,1.66,,65,0.19,HR,0,0,1,HR,0
12.000040.0570,"6x10 Rectangular - 1"" Lined",LF,5.72,1.1,,75,5.87,HR,0,0,1,HR,0
12.000040.0580,6x10 Rectangular - Mastic,LF,7.33,1.1,,75,3.99,HR,0,0,1,HR,0
12.000040.0590,6x10 Rectangular - Bare,LF,3.33,1.1,,75,6.94,HR,0,0,1,HR,0
12.000040.0600,"6x12 Rectangular - 2"" Insulation",LF,4.77,1.1,,75,6.04,HR,0,0,1,HR,0
12.000040.0610,"6x12 Rectangular - 1"" Lined",LF,6.29,1.1,,75,5.68,HR,0,0,1,HR,0
12.000040.0620,6x12 Rectangular - Mastic,LF,8.25,1.1,,75,3.77,HR,0,0,1,HR,0
12.000040.0630,6x12 Rectangular - Bare,LF,3.75,1.1,,75,6.87,HR,0,0,1,HR,0
12.000040.0640,"6x14 Rectangular - 2"" Insulation",LF,5.3,1.1,,75,5.9,HR,0,0,1,HR,0
12.000040.0650,"6x14 Rectangular - 1"" Lined",LF,6.71,1.1,,75,5.53,HR,0,0,1,HR,0
12.000040.0660,6x14 Rectangular - Mastic,LF,9.17,1.1,,75,3.56,HR,0,0,1,HR,0
12.000040.0670,"6x6 Rectangular - 1"" Lined",LF,4.58,1.1,,75,6.19,HR,0,0,1,HR,0
12.000040.0680,6x14 Rectangular - Bare,LF,4.17,1.1,,75,6.79,HR,0,0,1,HR,0
12.000040.0690,"6x16 Rectangular - 2"" Insulation",LF,5.68,1.16,,75,5.79,HR,0,0,1,HR,0
12.000040.0700,"6x16 Rectangular - 1"" Lined",LF,7.26,1.16,,75,5.41,HR,0,0,1,HR,0
12.000040.0710,6x16 Rectangular - Mastic,LF,9.94,1.16,,75,3.4,HR,0,0,1,HR,0
12.000040.0720,6x16 Rectangular - Bare,LF,4.44,1.16,,75,6.76,HR,0,0,1,HR,0
12.000040.0730,"6x18 Rectangular - 2"" Insulation",LF,6.19,1.16,,75,5.25,HR,0,0,1,HR,0
12.000040.0740,"6x18 Rectangular - 1"" Lined",LF,7.82,1.16,,75,4.9,HR,0,0,1,HR,0
12.000040.0750,6x18 Rectangular - Mastic,LF,10.84,1.16,,75,3.09,HR,0,0,1,HR,0
12.000040.0760,6x18 Rectangular - Bare,LF,4.84,1.16,,75,6.1,HR,0,0,1,HR,0
12.000040.0770,"6x20 Rectangular - 2"" Insulation",LF,6.71,1.16,,75,5.14,HR,0,0,1,HR,0
12.000040.0780,6x6 Rectangular - Mastic,LF,5.5,1.1,,75,4.51,HR,0,0,1,HR,0
12.000040.0790,"6x20 Rectangular - 1"" Lined",LF,8.38,1.16,,75,4.79,HR,0,0,1,HR,0
12.000040.0800,6x20 Rectangular - Mastic,LF,11.74,1.16,,75,2.95,HR,0,0,1,HR,0
12.000040.0810,6x20 Rectangular - Bare,LF,5.24,1.16,,75,6.04,HR,0,0,1,HR,0
12.000040.0820,"6x22 Rectangular - 2"" Insulation",LF,7.23,1.16,,75,5.06,HR,0,0,1,HR,0
12.000040.0830,"6x22 Rectangular - 1"" Lined",LF,8.94,1.16,,75,4.7,HR,0,0,1,HR,0
12.000040.0840,6x22 Rectangular - Mastic,LF,12.65,1.16,,75,2.83,HR,0,0,1,HR,0
12.000040.0850,6x22 Rectangular - Bare,LF,5.65,1.16,,75,6.01,HR,0,0,1,HR,0
12.000040.0860,"6x24 Rectangular - 2"" Insulation",LF,7.74,1.16,,75,4.96,HR,0,0,1,HR,0
12.000040.0870,"6x24 Rectangular - 1"" Lined",LF,9.49,1.16,,75,4.58,HR,0,0,1,HR,0
12.000040.0880,6x24 Rectangular - Mastic,LF,13.55,1.16,,75,2.72,HR,0,0,1,HR,0
12.000040.0890,6x6 Rectangular - Bare,LF,2.5,1.1,,75,7.06,HR,0,0,1,HR,0.88
12.000040.0900,6x24 Rectangular - Bare,LF,6.05,1.16,,75,5.95,HR,0,0,1,HR,0
12.000040.0910,"6x26 Rectangular - 2"" Insulation",LF,8.26,1.16,,75,4.88,HR,0,0,1,HR,0
