onset	duration	trial_no	event_type	stim_id	response_time
0	33	1	rest		0.0
33	9	2	stimulus	2481823	0.0
42	9	3	stimulus	4284002	0.0
51	9	4	stimulus	4146614	0.0
60	9	5	stimulus	4009552	0.0
69	9	6	stimulus	3602883	0.0
78	9	7	stimulus	1833805	0.0
87	9	8	stimulus	4373894	0.0
96	9	9	stimulus	4591713	0.0
105	9	10	stimulus	4591713	106.41034199999999
114	9	11	stimulus	3609235	0.0
123	9	12	stimulus	4113406	0.0
132	9	13	stimulus	4123740	0.0
141	9	14	stimulus	4123740	142.041049
150	9	15	stimulus	2432983	0.0
159	9	16	stimulus	4376876	0.0
168	9	17	stimulus	3209910	0.0
177	9	18	stimulus	3607659	0.0
186	9	19	stimulus	3792782	0.0
195	9	20	stimulus	3400231	0.0
204	9	21	stimulus	2317335	0.0
213	9	22	stimulus	1639765	0.0
222	9	23	stimulus	2480855	0.0
231	9	24	stimulus	2480855	232.02909
240	9	25	stimulus	2439033	0.0
249	9	26	stimulus	1855672	0.0
258	9	27	stimulus	7758680	0.0
267	9	28	stimulus	4442441	0.0
276	9	29	stimulus	4044716	0.0
285	9	30	stimulus	2799175	0.0
294	9	31	stimulus	2799175	295.03815
303	9	32	stimulus	1944390	0.0
312	9	33	stimulus	1944390	313.02912299999997
321	9	34	stimulus	2998003	0.0
330	9	35	stimulus	3623556	0.0
339	9	36	stimulus	1772222	0.0
348	9	37	stimulus	2005790	0.0
357	9	38	stimulus	1787835	0.0
366	9	39	stimulus	3541923	0.0
375	9	40	stimulus	4409515	0.0
384	9	41	stimulus	1768244	0.0
393	9	42	stimulus	2800213	0.0
402	9	43	stimulus	4273569	0.0
411	9	44	stimulus	3760671	0.0
420	9	45	stimulus	2814860	0.0
429	9	46	stimulus	4409806	0.0
438	9	47	stimulus	2346627	0.0
447	9	48	stimulus	4612026	0.0
456	9	49	stimulus	3746005	0.0
465	9	50	stimulus	4233124	0.0
474	9	51	stimulus	3886762	0.0
483	9	52	stimulus	2068974	0.0
492	9	53	stimulus	3496296	0.0
501	9	54	stimulus	3085013	0.0
510	9	55	stimulus	1664990	0.0
519	9	56	stimulus	4168199	0.0
528	6	57	rest		0.0
