onset	duration	trial_no	event_type	stim_id	response_time
0	33	1	rest		0.0
33	9	2	stimulus	4612026	0.0
42	9	3	stimulus	3085013	0.0
51	9	4	stimulus	4168199	0.0
60	9	5	stimulus	2841315	0.0
69	9	6	stimulus	3512147	0.0
78	9	7	stimulus	2814860	0.0
87	9	8	stimulus	2814860	89.272829
96	9	9	stimulus	2236241	0.0
105	9	10	stimulus	3602883	0.0
114	9	11	stimulus	3209910	0.0
123	9	12	stimulus	4419073	0.0
132	9	13	stimulus	2943871	0.0
141	9	14	stimulus	3792782	0.0
150	9	15	stimulus	2391049	0.0
159	9	16	stimulus	3607659	0.0
168	9	17	stimulus	2885462	0.0
177	9	18	stimulus	3436182	0.0
186	9	19	stimulus	3746005	0.0
195	9	20	stimulus	2439033	0.0
204	9	21	stimulus	2439033	206.385036
213	9	22	stimulus	1944390	0.0
222	9	23	stimulus	4272054	0.0
231	9	24	stimulus	3609235	0.0
240	9	25	stimulus	1645776	0.0
249	9	26	stimulus	2503517	0.0
258	9	27	stimulus	4146614	0.0
267	9	28	stimulus	4591713	0.0
276	9	29	stimulus	4373894	0.0
285	9	30	stimulus	4477387	0.0
294	9	31	stimulus	3886762	0.0
303	9	32	stimulus	4313503	0.0
312	9	33	stimulus	2508213	0.0
321	9	34	stimulus	3612010	0.0
330	9	35	stimulus	2481823	0.0
339	9	36	stimulus	3743279	0.0
348	9	37	stimulus	2374451	0.0
357	9	38	stimulus	2374451	0.0
366	9	39	stimulus	4154565	0.0
375	9	40	stimulus	4273569	0.0
384	9	41	stimulus	4255586	0.0
393	9	42	stimulus	4398044	0.0
402	9	43	stimulus	2480855	0.0
411	9	44	stimulus	2480855	0.0
420	9	45	stimulus	3815615	0.0
429	9	46	stimulus	3496296	0.0
438	9	47	stimulus	4401680	0.0
447	9	48	stimulus	4225987	0.0
456	9	49	stimulus	4376876	0.0
465	9	50	stimulus	1768244	0.0
474	9	51	stimulus	1770393	0.0
483	9	52	stimulus	4090263	0.0
492	9	53	stimulus	3950228	0.0
501	9	54	stimulus	4555897	0.0
510	9	55	stimulus	3359137	0.0
519	9	56	stimulus	3359137	521.218866
528	6	57	rest		0.0
