onset	duration	trial_no	event_type	stim_id	response_time
0	33	1	rest		0.0
33	9	2	stimulus	4409515	0.0
42	9	3	stimulus	2692877	0.0
51	9	4	stimulus	3544143	0.0
60	9	5	stimulus	3544143	61.046164000000005
69	9	6	stimulus	1704323	0.0
78	9	7	stimulus	4412416	0.0
87	9	8	stimulus	3085219	0.0
96	9	9	stimulus	4113406	0.0
105	9	10	stimulus	4591713	0.0
114	9	11	stimulus	3837869	0.0
123	9	12	stimulus	4313503	0.0
132	9	13	stimulus	2974003	0.0
141	9	14	stimulus	1664990	0.0
150	9	15	stimulus	4398044	0.0
159	9	16	stimulus	4197391	0.0
168	9	17	stimulus	3746005	0.0
177	9	18	stimulus	3746005	178.045285
186	9	19	stimulus	4320973	0.0
195	9	20	stimulus	4320973	196.036098
204	9	21	stimulus	3721384	0.0
213	9	22	stimulus	3494278	218.36311899999998
222	9	23	stimulus	7758680	0.0
231	9	24	stimulus	2799175	0.0
240	9	25	stimulus	2799175	242.37471800000003
249	9	26	stimulus	2068974	0.0
258	9	27	stimulus	2802215	0.0
267	9	28	stimulus	4233124	0.0
276	9	29	stimulus	2841315	0.0
285	9	30	stimulus	1963571	0.0
294	9	31	stimulus	2481823	0.0
303	9	32	stimulus	4272054	0.0
312	9	33	stimulus	4272054	320.03774300000003
321	9	34	stimulus	3261776	0.0
330	9	35	stimulus	3436182	0.0
339	9	36	stimulus	2374451	0.0
348	9	37	stimulus	2843158	0.0
357	9	38	stimulus	2226429	0.0
366	9	39	stimulus	4401680	0.0
375	9	40	stimulus	4442441	0.0
384	9	41	stimulus	4086273	0.0
393	9	42	stimulus	3760671	0.0
402	9	43	stimulus	3609235	0.0
411	9	44	stimulus	3467796	0.0
420	9	45	stimulus	4044716	0.0
429	9	46	stimulus	2472293	0.0
438	9	47	stimulus	3359137	0.0
447	9	48	stimulus	2445715	0.0
456	9	49	stimulus	2054036	0.0
465	9	50	stimulus	4477387	0.0
474	9	51	stimulus	3335030	0.0
483	9	52	stimulus	2391049	0.0
492	9	53	stimulus	3445777	0.0
501	9	54	stimulus	4373894	0.0
510	9	55	stimulus	3792782	0.0
519	9	56	stimulus	3649909	0.0
528	6	57	rest		0.0
