hammock	bat	bowling_ball	videocassette_recorder	stained-glass_window	washer	covered_wagon	football_helmet	goat	domestic_llama	gravestone	welder's_mask	canoe	coffin	cannon	microwave	harp	goldfish	airliner	conch	camel	umbrella	grand_piano	barrow	mandolin
goat	cowboy_hat	mandolin	grand_piano	gravestone	butterfly	dress_hat	coffin	goldfish	tambourine	sock	knob	welder's_mask	domestic_llama	airliner	planchet	duck	housefly	owl	pincer	crab	harp	bowling_ball	cannon	washer
sock	crab	minaret	beer_mug	owl	shredder	dress_hat	domestic_llama	goldfish	conch	gravestone	football_helmet	bat	washer	grand_piano	airliner	electric_guitar	welder's_mask	umbrella	housefly	tambourine	mandolin	microwave	common_iguana	stained-glass_window
